TABLE_NAME;NOTE;ACTIVE;DATA_TYPE;REFRESH_PERIOD;DELETE_PERIOD;FROM_CLAUSE;WHERE_CLAUSE;DATA_LEVEL;PARENT_LEVEL;PARENT2_LEVEL;VENDOR_ID;PARTITION_ID;DATE_FIELD;NE_FIELD;LOAD_TYPE;DATE_AGGREGATE_TYPES;RAW_TABLE_COUNT
IMSNFM_IBCF;NULL;1;15Mins;5;30;NORTHI_PARSER.CSCF_IBCF A, NORTHI_DATA.LIST_IMSNFM_CSCF X;SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'_',1,1)+1,INSTR(A.OBJECT_NAME,'_',1,2)-INSTR(A.OBJECT_NAME,'_',1,1)-1) = X.IMSNFM_NAME  AND  SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'/',1,3)+1,INSTR(A.OBJECT_NAME,'/',1,4)-INSTR(A.OBJECT_NAME,'/',1,3)-1)=X.CSCF_NAME;CSCF;IMSNFM;NULL;3;193;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
IMSNFM_ICSCF;NULL;1;15Mins;5;30;NORTHI_PARSER.CSCF_ICSCF A, NORTHI_DATA.LIST_IMSNFM_CSCF X;SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'_',1,1)+1,INSTR(A.OBJECT_NAME,'_',1,2)-INSTR(A.OBJECT_NAME,'_',1,1)-1)= X.IMSNFM_NAME AND  SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'/',1,3)+1,INSTR(A.OBJECT_NAME,'/',1,4)-INSTR(A.OBJECT_NAME,'/',1,3)-1)=X.CSCF_NAME;CSCF;IMSNFM;NULL;3;193;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
IMSNFM_PCSCF;NULL;1;15Mins;5;30;NORTHI_PARSER.CSCF_PCSCF A, NORTHI_DATA.LIST_IMSNFM_CSCF X;SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'_',1,1)+1,INSTR(A.OBJECT_NAME,'_',1,2)-INSTR(A.OBJECT_NAME,'_',1,1)-1) = X.IMSNFM_NAME AND  SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'/',1,3)+1,INSTR(A.OBJECT_NAME,'/',1,4)-INSTR(A.OBJECT_NAME,'/',1,3)-1)=X.CSCF_NAME;CSCF;IMSNFM;NULL;3;193;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
IMSNFM_SCSCF;NULL;1;15Mins;5;30;NORTHI_PARSER.CSCF_SCSCF A, NORTHI_DATA.LIST_IMSNFM_CSCF X;SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'_',1,1)+1,INSTR(A.OBJECT_NAME,'_',1,2)-INSTR(A.OBJECT_NAME,'_',1,1)-1) = X.IMSNFM_NAME AND  SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'/',1,3)+1,INSTR(A.OBJECT_NAME,'/',1,4)-INSTR(A.OBJECT_NAME,'/',1,3)-1)=X.CSCF_NAME;CSCF;IMSNFM;NULL;3;193;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
IMSNFM_BC;NULL;1;15Mins;5;30;NORTHI_PARSER.CSCF_BC A, NORTHI_DATA.LIST_IMSNFM_CSCF X;SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'_',1,1)+1,INSTR(A.OBJECT_NAME,'_',1,2)-INSTR(A.OBJECT_NAME,'_',1,1)-1) = X.IMSNFM_NAME AND  SUBSTR(A.OBJECT_NAME,INSTR(A.OBJECT_NAME,'/',1,3)+1,INSTR(A.OBJECT_NAME,'/',1,4)-INSTR(A.OBJECT_NAME,'/',1,3)-1)=X.CSCF_NAME;CSCF;IMSNFM;NULL;3;193;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
ISBC_M112;NULL;1;HOURLY;60;60;NORTHI_PARSER.ISBC_M112 A, NORTHI_DATA.LIST_ISBC X;SUBSTR(OBJECT_NAME,INSTR(OBJECT_NAME,'-',1,2)+1,INSTR(OBJECT_NAME,'/',1,2) - INSTR(OBJECT_NAME,'-',1,2)-1)=X.ISBC_NAME;NULL;NULL;NULL;34;173;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
MSC_EMB;NULL;1;HOURLY;60;360;"(SELECT 
   MAX(LANEMB_LOAD_RATE) LANEMB_LOAD_RATE,
   MAX(LANEMB_PEAK_RATE) LANEMB_PEAK_RATE,  
   LIF_ID UNIT_NAME,
   A.MSC_ID,
   TRUNC(PERIOD_START_TIME,'HH24') PERIOD_START_TIME
   FROM NORTHI_PARSER.CORE_RNS_PS_MLANEMBT_TRA1_RAW A, NORTHI_DATA.LIST_MSC X
   WHERE A.MSC_ID=X.MSC_ID AND PERIOD_START_TIME BETWEEN XDATA_DATE AND XDATA_DATE+0.8/24
   GROUP BY A.MSC_ID,LIF_ID, TRUNC(PERIOD_START_TIME,'HH24')
   ) A, NORTHI_DATA.LIST_MSC_LIF_UNIT X";A.UNIT_NAME=X.UNIT_NAME AND A.MSC_ID=X.MSC_ID AND A.PERIOD_START_TIME=XDATA_DATE;UNIT;MSC;NW;3;137;FRAGMENT_DATE;NETWORK_ID;1;'DA','5WA','7WA','5MA','7MA';1
MGW_LICENCE;NULL;1;HOURLY;60;360;"(
SELECT PERIOD_START_TIME, MGW_ID, 
MAX(CC_FEATURE_CAPACITY) CC_FEATURE_CAPACITY,MAX(CC_PEAK) CC_PEAK,MAX(PC_IU_FEATURE_CAPACITY) PC_IU_FEATURE_CAPACITY,MAX(PC_IU_PEAK) PC_IU_PEAK,
MAX(PC_IU_IP_FEATURE_CAPACITY) PC_IU_IP_FEATURE_CAPACITY,MAX(PC_IU_IP_PEAK) PC_IU_IP_PEAK,
MAX(PC_NB_IP_FEATURE_CAPACITY) PC_NB_IP_FEATURE_CAPACITY,MAX(PC_NB_IP_PEAK) PC_NB_IP_PEAK,
MAX(ECC_FEATURE_CAPACITY) ECC_FEATURE_CAPACITY,MAX(ECC_PEAK) ECC_PEAK,MAX(PC_AOIP_FEATURE_CAPACITY) PC_AOIP_FEATURE_CAPACITY,MAX(PC_AOIP_PEAK) PC_AOIP_PEAK,
MAX(PC_MB_FEATURE_CAPACITY) PC_MB_FEATURE_CAPACITY,MAX(PC_MB_PEAK) PC_MB_PEAK,MAX(PC_MB_LTE_FEATURE_CAPACITY) PC_MB_LTE_FEATURE_CAPACITY,MAX(PC_MB_LTE_PEAK) PC_MB_LTE_PEAK
FROM NORTHI_PARSER.CORE_NOKMWW_PS_CLU_MGW_RAW 
WHERE PERIOD_START_TIME = XDATA_DATE
GROUP BY PERIOD_START_TIME, MGW_ID
UNION ALL
SELECT PERIOD_START_TIME, OMGW_ID, 
MAX(CC_FEATURE_CAPACITY) CC_FEATURE_CAPACITY,MAX(CC_PEAK) CC_PEAK,0,0,
MAX(PC_IU_IP_FEATURE_CAPACITY) PC_IU_IP_FEATURE_CAPACITY,MAX(PC_IU_IP_PEAK) PC_IU_IP_PEAK,
MAX(PC_NB_IP_FEATURE_CAPACITY) PC_NB_IP_FEATURE_CAPACITY,MAX(PC_NB_IP_PEAK) PC_NB_IP_PEAK,
MAX(ECC_FEATURE_CAPACITY) ECC_FEATURE_CAPACITY,MAX(ECC_PEAK) ECC_PEAK,MAX(PC_AOIP_FEATURE_CAPACITY) PC_AOIP_FEATURE_CAPACITY,MAX(PC_AOIP_PEAK) PC_AOIP_PEAK,
MAX(PC_MB_FEATURE_CAPACITY) PC_MB_FEATURE_CAPACITY,MAX(PC_MB_PEAK) PC_MB_PEAK,MAX(PC_MB_LTE_FEATURE_CAPACITY) PC_MB_LTE_FEATURE_CAPACITY,MAX(PC_MB_LTE_PEAK) PC_MB_LTE_PEAK
FROM NORTHI_PARSER.CORE_OMW_PS_CLUO_OMGW_RAW
WHERE PERIOD_START_TIME = XDATA_DATE
GROUP BY PERIOD_START_TIME, OMGW_ID
)A, NORTHI_DATA.LIST_MGW X";A.MGW_ID=X.MGW_ID AND A.PERIOD_START_TIME=XDATA_DATE;MGW;NULL;NULL;3;146;FRAGMENT_DATE;NETWORK_ID;1;'DA','5WA','7WA','5MA','7MA';2
TAS_ST;NULL;1;HOURLY;60;360;NORTHI_PARSER.CORE_TAS_PS_STM_DIR2_RAW A, NORTHI_DATA.LIST_TAS_ST X;A.TAS_ID=X.TAS_ID AND A.ST_ID=X.ST_NAME AND A.PERIOD_START_TIME=XDATA_DATE;ST;TAS;NULL;3;153;FRAGMENT_DATE;NETWORK_ID;1;'DA','5WA','7WA','5MA','7MA';1
TAS_SIP;NULL;1;HOURLY;60;360;NORTHI_PARSER.CORE_TAS_PS_SIP_UNIT1_RAW A, NORTHI_DATA.LIST_TAS_UNIT X;A.TAS_ID=X.TAS_ID AND A.UNIT_ID=X.UNIT_NAME AND A.PERIOD_START_TIME=XDATA_DATE;UNIT;TAS;NULL;3;152;FRAGMENT_DATE;NETWORK_ID;1;'DA','5WA','7WA','5MA','7MA';1
MSC_CC;NULL;1;HOURLY;60;360;NORTHI_PARSER.CORE_RNS_PS_CCMEA_CC1_RAW A, NORTHI_DATA.LIST_MSC_CLEARCODE X;A.MSC_ID=X.MSC_ID AND A.CLEAR_CODE_ID=X.CC_NAME AND A.PERIOD_START_TIME=XDATA_DATE;CC;MSC;NULL;3;160;FRAGMENT_DATE;NETWORK_ID;1;'DA','5WA','7WA','5MA','7MA';1
MSC_VLR;NULL;1;HOURLY;60;360;"NORTHI_PARSER.CORE_RNS_PV_VLR1MSC_MSC_RAW A LEFT OUTER JOIN  NORTHI_PARSER.CORE_RNS_PS_VLRNMSC_MSC_RAW B ON (A.MSC_ID=B.MSC_ID AND A.PERIOD_START_TIME=B.PERIOD_START_TIME),
NORTHI_DATA.LIST_MSC X LEFT OUTER JOIN  NORTHI_DATA.LIST_MSC_VLR_CAPACITY Y ON ( X.MSC_NAME=Y.MSC_NAME)";A.MSC_ID=X.MSC_ID AND A.PERIOD_START_TIME=XDATA_DATE;MSC;NULL;NULL;3;142;FRAGMENT_DATE;NETWORK_ID;1;'DA','5WA','7WA','5MA','7MA';2
MSC_HO;NULL;1;HOURLY;60;60;NORTHI_PARSER.CORE_RNS_PS_HO1_MSC_RAW A, NORTHI_DATA.LIST_MSC X;A.MSC_ID=X.MSC_ID AND A.PERIOD_START_TIME=XDATA_DATE;MSC;NULL;NULL;3;155;FRAGMENT_DATE;NETWORK_ID;1;'DA','5WA','7WA','5MA','7MA';1
NDS_EPS;NULL;1;15Mins;5;30;NORTHI_PARSER.NSNCSDB_EPS_SUB_COUNT A, NORTHI_DATA.LIST_ONENDS_EPS X;A.OBJECT_NAME=X.EPS_NAME;EPS;NULL;NULL;30;166;FRAGMENT_DATE;NETWORK_ID;2;'DA','5WA','7WA','5MA','7MA';1
