TABLE_NAME;PARSER_DATE;DATA_DATE;LOADER_DATE;LOADER_STATE;LOAD_DATE;LOADER_DATA_COUNT;LOADER_COUNT;HOURLY_STATE;SYSTEM_ID;DTYPE;DAILY_STATE;ORG_TABLE
CELLSTS_4G_ENODEB;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:38;2;07.12.2025 04:39;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:39;2;07.12.2025 04:39;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:40;2;07.12.2025 04:40;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:40;2;07.12.2025 04:40;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:39;2;07.12.2025 04:39;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:40;2;07.12.2025 04:43;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:39;2;07.12.2025 04:39;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:39;2;07.12.2025 04:40;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:43;2;07.12.2025 04:43;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 04:29;07.12.2025 03:00;07.12.2025 04:39;2;07.12.2025 04:39;0;1;1;21;5;0;CELLSTS_4G
CELLSTS_4G;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:31;2;07.12.2025 05:38;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:40;2;07.12.2025 05:40;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:39;2;07.12.2025 05:39;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:43;2;07.12.2025 05:49;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:38;2;07.12.2025 05:39;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:39;2;07.12.2025 05:39;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:40;2;07.12.2025 05:40;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:40;2;07.12.2025 05:40;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:39;2;07.12.2025 05:39;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:40;2;07.12.2025 05:43;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:39;2;07.12.2025 05:39;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:39;2;07.12.2025 05:40;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:43;2;07.12.2025 05:43;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 05:29;07.12.2025 04:00;07.12.2025 05:39;2;07.12.2025 05:39;0;1;1;21;5;0;CELLSTS_4G
CELLSTS_4G;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:31;2;07.12.2025 06:38;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:40;2;07.12.2025 06:40;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:40;2;07.12.2025 06:40;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:43;2;07.12.2025 06:49;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:38;2;07.12.2025 06:39;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:40;2;07.12.2025 06:40;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:40;2;07.12.2025 06:40;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:40;2;07.12.2025 06:41;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:39;2;07.12.2025 06:40;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:41;2;07.12.2025 06:43;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:39;2;07.12.2025 06:39;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:40;2;07.12.2025 06:40;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:43;2;07.12.2025 06:43;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 06:28;07.12.2025 05:00;07.12.2025 06:40;2;07.12.2025 06:40;0;1;1;21;5;0;CELLSTS_4G
CELLSTS_4G;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:32;2;07.12.2025 07:39;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:40;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:40;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:43;2;07.12.2025 07:50;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:39;2;07.12.2025 07:40;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:40;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:41;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:41;2;07.12.2025 07:41;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:40;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:41;2;07.12.2025 07:43;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:40;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:40;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:43;2;07.12.2025 07:43;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 07:28;07.12.2025 06:00;07.12.2025 07:40;2;07.12.2025 07:40;0;1;1;21;5;0;CELLSTS_4G
CELLSTS_4G;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:32;2;07.12.2025 08:40;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:42;2;07.12.2025 08:42;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:41;2;07.12.2025 08:41;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:45;2;07.12.2025 08:53;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:40;2;07.12.2025 08:41;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:41;2;07.12.2025 08:42;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:42;2;07.12.2025 08:42;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:42;2;07.12.2025 08:43;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:41;2;07.12.2025 08:41;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:43;2;07.12.2025 08:45;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:41;2;07.12.2025 08:41;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:42;2;07.12.2025 08:42;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:45;2;07.12.2025 08:45;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 08:28;07.12.2025 07:00;07.12.2025 08:41;2;07.12.2025 08:41;0;1;1;21;5;0;CELLSTS_4G
CELLSTS_4G;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:33;2;07.12.2025 09:40;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:43;2;07.12.2025 09:43;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:42;2;07.12.2025 09:42;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:46;2;07.12.2025 09:54;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:40;2;07.12.2025 09:42;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:42;2;07.12.2025 09:42;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:43;2;07.12.2025 09:43;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:43;2;07.12.2025 09:44;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:42;2;07.12.2025 09:42;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:44;2;07.12.2025 09:46;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:42;2;07.12.2025 09:42;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 09:29;07.12.2025 08:00;07.12.2025 09:42;2;07.12.2025 09:43;0;1;1;21;8;0;CELLSTS_4G
