TABLE_NAME;LOCAL_FIELD;REMOTE_FIELD;DATA_TYPE;FIELD_LENGTH;ACTIVE;FIELD_DEFINITION;VENDOR_ID;UNIT;TYPE_AGGREGATE;DATE_AGGREGATE
CELLSTS_4G;MAX_ACTIVE_USER_UL;C1526727383;NUMBER;12;1;L.Traffic.User.ULData.Max;6;%;SUM;MAX
CELLSTS_4G;AVG_ACTIVE_USER_DL;C1526727384;NUMBER;12;1;L.Traffic.User.DLData.Avg;6;%;SUM;AVG
CELLSTS_4G;MAX_ACTIVE_USER_DL;C1526727385;NUMBER;12;1;L.Traffic.User.DLData.Max;6;%;SUM;MAX
CELLSTS_4G;UL_TRAFFIC_VOL;C1526728259;NUMBER;12;1;L.Thrp.bits.UL;6;%;SUM;SUM
CELLSTS_4G;DL_TRAFFIC_VOL;C1526728261;NUMBER;12;1;L.Thrp.bits.DL;6;%;SUM;SUM
CELLSTS_4G;AVG_CQI_NUM;((C1526727396*0)+(C1526727397*1)+(C1526727398*2)+(C1526727399*3)+(C1526727400*4)+(C1526727401*5)+(C1526727402*6)+(C1526727403*7)+(C1526727404*8)+(C1526727405*9)+(C1526727406*10)+(C1526727407*11)+(C1526727408*12)+(C1526727409*13)+(C1526727410*14)+(C1526727411*15));NUMBER;12;1;((L.ChMeas.CQI.DL.0*0)+(L.ChMeas.CQI.DL.1*1)+(L.ChMeas.CQI.DL.2*2)+(L.ChMeas.CQI.DL.3*3)+(L.ChMeas.CQI.DL.4*4)+(L.ChMeas.CQI.DL.5*5)+(L.ChMeas.CQI.DL.6*6)+(L.ChMeas.CQI.DL.7*7)+(L.ChMeas.CQI.DL.8*8)+(L.ChMeas.CQI.DL.9*9)+(L.ChMeas.CQI.DL.10*10)+(L.ChMeas.CQI.DL.11*11)+(L.ChMeas.CQI.DL.12*12)+(L.ChMeas.CQI.DL.13*13)+(L.ChMeas.CQI.DL.14*14)+(L.ChMeas.CQI.DL.15*15));6;%;SUM;SUM
CELLSTS_4G;AVG_CQI_DEN;(C1526727396+C1526727397+C1526727398+C1526727399+C1526727400+C1526727401+C1526727402+C1526727403+C1526727404+C1526727405+C1526727406+C1526727407+C1526727408+C1526727409+C1526727410+C1526727411);NUMBER;12;1;((L.ChMeas.CQI.DL.0)+(L.ChMeas.CQI.DL.1)+(L.ChMeas.CQI.DL.2)+(L.ChMeas.CQI.DL.3)+(L.ChMeas.CQI.DL.4)+(L.ChMeas.CQI.DL.5)+(L.ChMeas.CQI.DL.6)+(L.ChMeas.CQI.DL.7)+(L.ChMeas.CQI.DL.8)+(L.ChMeas.CQI.DL.9)+(L.ChMeas.CQI.DL.10)+(L.ChMeas.CQI.DL.11)+(L.ChMeas.CQI.DL.12)+(L.ChMeas.CQI.DL.13)+(L.ChMeas.CQI.DL.14)+(L.ChMeas.CQI.DL.15));6;%;SUM;SUM
CELLSTS_4G;DL_PCKT_DELAY_NUM;C1526727907 +C1526727910 +C1526727913+ C1526727916 +C1526727919 +C1526727922 +C1526727925 + C1526727928 +C1526727931;NUMBER;12;1;L.Traffic.DL.PktDelay.Time.QCI.1 + L.Traffic.DL.PktDelay.Time.QCI.2 + L.Traffic.DL.PktDelay.Time.QCI.3 + L.Traffic.DL.PktDelay.Time.QCI.4 + L.Traffic.DL.PktDelay.Time.QCI.5 + L.Traffic.DL.PktDelay.Time.QCI.6 + L.Traffic.DL.PktDelay.Time.QCI.7 + L.Traffic.DL.PktDelay.Time.QCI.8 + L.Traffic.DL.PktDelay.Time.QCI.9;6;%;SUM;SUM
CELLSTS_4G;DL_PCKT_DELAY_DEN;C1526727908+ C1526727911 + C1526727914+ C1526727917 +C1526727920 + C1526727923+ C1526727926+ C1526727929 + C1526727932;NUMBER;12;1;L.Traffic.DL.PktDelay.Num.QCI.1 + L.Traffic.DL.PktDelay.Num.QCI.2 + L.Traffic.DL.PktDelay.Num.QCI.3 + L.Traffic.DL.PktDelay.Num.QCI.4 + L.Traffic.DL.PktDelay.Num.QCI.5 + L.Traffic.DL.PktDelay.Num.QCI.6 + L.Traffic.DL.PktDelay.Num.QCI.7 + L.Traffic.DL.PktDelay.Num.QCI.8 + L.Traffic.DL.PktDelay.Num.QCI.9;6;%;SUM;SUM
CELLSTS_4G;DL_PCKT_ERR_LOSS_R_NUM;C1526727934 + C1526727937 + C1526727940 +C1526727943 + C1526727946 + C1526727949 +C1526727952 + C1526727955 + C1526727958;NUMBER;12;1;L.Traffic.DL.PktUuLoss.Loss.QCI.1 + L.Traffic.DL.PktUuLoss.Loss.QCI.2 + L.Traffic.DL.PktUuLoss.Loss.QCI.3 + L.Traffic.DL.PktUuLoss.Loss.QCI.4 + L.Traffic.DL.PktUuLoss.Loss.QCI.5 + L.Traffic.DL.PktUuLoss.Loss.QCI.6 + L.Traffic.DL.PktUuLoss.Loss.QCI.7 + L.Traffic.DL.PktUuLoss.Loss.QCI.8 + L.Traffic.DL.PktUuLoss.Loss.QCI.9;6;%;SUM;SUM
